,date,release_time,ten_mins_before,ten_mins_after,fifteen_mins_after,twenty_mins_after
0,2013-10-14 11:05:00,44230.0,44230.0,44229.0,44229.0,44219.0
1,2013-11-08 10:27:00,43780.0,43778.0,43786.0,43794.0,43800.0
2,2013-12-13 13:27:00,45855.0,45874.0,45850.0,45853.0,45859.0
3,2014-02-14 13:33:00,48361.0,48363.0,48364.0,48173.0,48231.0
4,2014-03-03 10:26:00,50359.0,50400.0,50324.0,50358.0,50418.0
5,2014-03-14 13:30:00,52117.0,52092.0,52120.0,52134.0,52131.0
6,2014-04-25 13:30:00,50402.0,50418.0,50320.0,50301.0,50330.0
7,2014-06-16 13:31:00,47896.0,47870.0,47886.0,47879.0,47880.0
8,2014-07-25 13:30:00,47780.0,47780.0,47708.0,47730.0,47786.0
9,2014-09-12 13:30:00,49650.0,49680.0,49650.0,49650.0,49650.0
10,2014-10-31 13:30:00,53548.0,53460.0,53597.0,53590.0,53694.0
11,2014-12-11 13:29:00,70780.0,70500.0,71099.0,71100.0,71160.0
12,2014-12-16 10:00:00,84451.0,84451.0,78826.0,-100.0,80664.0
13,2015-01-30 13:29:00,80535.0,80585.0,80779.0,81236.0,81584.0
14,2015-03-13 13:28:00,67532.0,67600.0,67250.0,67280.0,67271.0
15,2015-04-30 13:28:00,58753.0,58810.0,58178.0,58191.0,58264.0
16,2015-06-15 13:30:00,63797.0,63953.0,63587.0,63598.0,63665.0
17,2015-07-31 13:30:00,67248.0,67182.0,67378.0,67516.0,67633.0
18,2015-10-30 13:30:00,71530.0,71617.0,71382.0,71420.0,71444.0
19,2015-12-11 13:30:00,78480.0,78408.0,78735.0,78671.0,78720.0
20,2016-01-29 13:30:00,83713.0,83573.0,83859.0,83943.0,84024.0
21,2016-03-18 13:30:00,79114.0,79322.0,78572.0,78580.0,78421.0
22,2016-04-29 13:30:00,74287.0,74187.0,73977.0,74154.0,74083.0
23,2016-06-10 13:30:00,75105.0,75101.0,74823.0,74809.0,74791.0
24,2016-07-29 13:30:00,75461.0,75435.0,75311.0,75323.0,75454.0
25,2016-09-16 13:29:00,74893.0,74870.0,74854.0,74799.0,74760.0
26,2016-10-28 13:30:00,69551.0,69559.0,69574.0,69617.0,69602.0
27,2016-12-16 13:30:00,65890.0,65908.0,65973.0,65873.0,65897.0
28,2017-02-03 13:30:00,64667.0,64690.0,64441.0,64503.0,64536.0
29,2017-03-24 13:30:00,63437.0,63402.0,63297.0,63233.0,63270.0
30,2017-04-28 13:30:00,63125.0,63119.0,63129.0,62945.0,62926.0
31,2017-06-16 13:30:00,66060.0,66091.0,65970.0,65992.0,65991.0
32,2017-07-28 13:32:00,70491.0,70616.0,70507.0,70575.0,70600.0
33,2017-09-15 13:30:00,70192.0,70134.0,70282.0,70297.0,70310.0
34,2017-10-27 13:30:00,68420.0,68443.0,68389.0,68490.0,68598.0
35,2017-12-15 13:30:00,70745.0,70741.0,70910.0,70872.0,70819.0
36,2018-02-09 13:30:00,71715.0,71675.0,71461.0,71488.0,71511.0
37,2018-03-23 13:30:00,71694.0,71644.0,71634.0,71716.0,71668.0
38,2018-04-27 13:30:00,76451.0,76392.0,76437.0,76251.0,76251.0
39,2018-06-15 13:30:00,74078.0,74010.0,74024.0,74050.0,74050.0
40,2018-07-27 13:30:00,73925.0,73907.0,73921.0,73917.0,73921.0
41,2018-09-14 13:30:00,81284.0,81364.0,80525.0,80377.0,80460.0
42,2018-10-26 13:30:00,75500.0,75470.0,75485.0,75481.0,75465.0
43,2018-12-14 13:30:00,76500.0,76567.0,76447.0,76482.0,76482.0
44,2019-02-08 13:30:00,75404.0,75441.0,75485.0,75488.0,75475.0
45,2019-03-22 13:30:00,74155.0,74042.0,74092.0,74115.0,74149.0
46,2019-04-26 13:30:00,73074.0,73042.0,73048.0,73027.0,73014.0
47,2019-06-14 13:30:00,74055.0,74061.0,73981.0,73970.0,73973.0
48,2019-07-26 13:30:00,71083.0,71090.0,71066.0,71034.0,71032.0
49,2019-09-06 13:30:00,72883.0,72954.0,72820.0,72828.0,72790.0
50,2019-10-25 13:30:00,71808.0,71785.0,71817.0,71780.0,71771.0
51,2019-12-13 13:30:00,70924.0,70953.0,70933.0,70856.0,70772.0
52,2020-02-07 13:30:00,70366.0,70422.0,70423.0,70364.0,70394.0
53,2020-03-20 13:30:00,86027.0,85601.0,85987.0,86624.0,86251.0
54,2020-04-24 13:30:00,81137.0,81145.0,81000.0,81110.0,80984.0
55,2020-06-19 13:30:00,78753.0,78720.0,78827.0,78786.0,78701.0
56,2020-07-24 13:30:00,83547.0,83465.0,83560.0,83590.0,83570.0
57,2020-09-18 13:30:00,89902.0,89863.0,89869.0,89874.0,89884.0
58,2020-10-23 13:30:00,91014.0,91054.0,91020.0,91052.0,91000.0
59,2020-12-18 13:30:00,91156.0,91125.0,91222.0,91333.0,91300.0
60,2021-02-12 13:30:00,90276.0,90360.0,90269.0,90300.0,90374.0
61,2021-03-19 13:30:00,89010.0,89090.0,88919.0,88865.0,88907.0
62,2021-04-23 13:30:00,91098.0,91145.0,91061.0,91078.0,91027.0
63,2021-06-11 13:30:00,88485.0,88484.0,88422.0,88401.0,88435.0
64,2021-07-23 13:30:00,87366.0,87460.0,87476.0,87451.0,87380.0
65,2021-09-10 13:30:00,86147.0,86163.0,86231.0,86218.0,86182.0
66,2021-10-22 13:30:00,82932.0,83006.0,82587.0,82600.0,82523.0
67,2021-12-17 13:30:00,85198.0,85320.0,85470.0,85486.0,85372.0
