year,quarter,GDP_deseasoned,GDP_general,GDP_nominal
2011,1,20068.58443,18440.08354,13024.79954
2011,2,20317.7314,19714.79838,14434.82231
2011,3,20593.22143,20978.42415,15745.58357
2011,4,20853.43203,22617.264,16908.79543
2012,1,21139.17858,19492.30811,15182.7764
2012,2,21234.13603,20672.44698,16435.99557
2012,3,21343.36364,21711.57498,17715.78794
2012,4,21357.53941,23163.95338,18768.88973
2013,1,21515.71209,19712.53063,16370.0029
2013,2,21588.99164,21028.10378,17507.88178
2013,3,21597.73714,22039.09247,19003.46931
2013,4,21722.50877,23753.37255,20104.34714
2014,1,21721.15415,19703.12208,17311.39364
2014,2,21825.95631,21144.80829,19044.18939
2014,3,21756.58235,22348.66416,20544.00418
2014,4,21704.99497,23973.61974,22130.45287
2015,1,21483.58946,19401.74081,18467.9128
2015,2,21339.30217,20490.95157,19751.01499
2015,3,21380.59534,21967.99902,21788.58941
2015,4,21325.60917,23589.89929,23079.84286
2016,1,21366.14518,19361.68721,18885.12108
2016,2,21377.60499,20556.72334,20452.23465
2016,3,21399.19192,21980.855,22235.11522
2016,4,21575.88432,23716.81827,24043.61285
2017,1,21619.53737,19615.83862,20586.11906
2017,2,21768.87801,21038.52813,21917.57377
2017,3,21916.73739,22560.99808,23718.21615
2017,4,21922.63054,23963.90542,25621.24523
2018,1,22215.79946,20118.49016,22474.46429
2018,2,22341.73384,21612.60033,24969.7591
2018,3,22400.66262,23155.3263,27196.84355
2018,4,22550.47182,24740.18951,29220.58414
2019,1,22661.75207,20397.19237,24608.60143
2019,2,22772.6447,21905.29183,26628.58988
2019,3,22896.29986,23795.39459,28346.03157
2019,4,23059.53896,25498.78819,30025.08286
2020,1,23149.6277,20696.0487,24852.37889
2020,2,21177.74954,20280.49037,23681.65418
2020,3,22178.4645,23018.24924,27768.65521
2020,4,22591.52011,25161.96557,31087.64501
2021,1,23002.84616,20625.13493,27091.31441
2021,2,23329.55157,22403.88258,30914.90002
2021,3,23359.74837,23935.95748,34225.49917
2021,4,23698.47721,26426.3539,38783.27556
