date,EER
9/1/2013,92.88
10/1/2013,92.92
11/1/2013,91.93
12/1/2013,91.05
1/1/2014,89.1
2/1/2014,85.09
3/1/2014,82.93
4/1/2014,83.9
5/1/2014,85.91
6/1/2014,87.53
7/1/2014,86.77
8/1/2014,84.07
9/1/2014,81.51
10/1/2014,76.51
11/1/2014,68.95
12/1/2014,56.85
1/1/2015,51.54
2/1/2015,52.22
3/1/2015,57.38
4/1/2015,65
5/1/2015,66.99
6/1/2015,62.19
7/1/2015,59.76
8/1/2015,52.44
9/1/2015,51.84
10/1/2015,54.48
11/1/2015,54.21
12/1/2015,50.15
1/1/2016,46.16
2/1/2016,45.48
3/1/2016,49.7
4/1/2016,51.55
5/1/2016,52.41
6/1/2016,53.18
7/1/2016,54.38
8/1/2016,53.33
9/1/2016,53.83
10/1/2016,56.21
11/1/2016,55.79
12/1/2016,59.18
1/1/2017,61.04
2/1/2017,62.08
3/1/2017,62.46
4/1/2017,63.82
5/1/2017,62.1
6/1/2017,60.5
7/1/2017,57.97
8/1/2017,57.2
9/1/2017,58.56
10/1/2017,59.21
11/1/2017,58.04
12/1/2017,58.03
1/1/2018,58.51
2/1/2018,57.73
3/1/2018,57.51
4/1/2018,54.1
5/1/2018,54.44
6/1/2018,54.8
7/1/2018,55.41
8/1/2018,53.28
9/1/2018,52.22
10/1/2018,54.11
11/1/2018,53.76
12/1/2018,52.79
1/1/2019,52.82
2/1/2019,53.8
3/1/2019,54.49
4/1/2019,55.24
5/1/2019,55.54
6/1/2019,55.88
7/1/2019,56.75
8/1/2019,55.26
9/1/2019,56.43
10/1/2019,56.73
11/1/2019,56.93
12/1/2019,57.61
1/1/2020,58.3
2/1/2020,57.16
3/1/2020,49.35
4/1/2020,49.77
5/1/2020,51.27
6/1/2020,52.78
7/1/2020,50.53
8/1/2020,48.04
9/1/2020,46.67
10/1/2020,45.62
11/1/2020,45.59
12/1/2020,46.36
1/1/2021,46.03
2/1/2021,46.14
3/1/2021,46.83
4/1/2021,45.77
5/1/2021,46.53
6/1/2021,47.63
7/1/2021,47.44
8/1/2021,47.75
9/1/2021,48.21
10/1/2021,49.75
11/1/2021,49.32
12/1/2021,49.19
1/1/2022,47.36
2/1/2022,46.15
3/1/2022,35.54
4/1/2022,48.12
