,key_rate,MIACR,Mortgage_rate,,,,,,
1/1/2021,4.25,4.17,7.36,,,,,,
12/1/2020,4.25,4.06,7.38,,,,,,
11/1/2020,4.25,4.17,7.31,,,,,,
10/1/2020,4.25,4.17,7.32,,,,,,
9/1/2020,4.25,4.16,7.26,,,,,,
8/1/2020,4.25,4.23,7.38,,,,,,
7/1/2020,4.5,4.99,7.64,,,,,,
6/1/2020,5.5,5.47,7.56,,,,,,
5/1/2020,5.5,5.99,8.42,,,,,,
4/1/2020,6,5.79,8.68,,,,,,
3/1/2020,6,5.94,8.73,,,,,,
2/1/2020,6.25,6.04,8.85,,,,,,
1/1/2020,6.25,6.15,9.05,,,,,,
12/1/2019,6.5,6.46,9.22,,,,,,
11/1/2019,6.5,6.79,9.41,,,,,,
10/1/2019,7,6.86,9.67,,,,,,
9/1/2019,7.25,7.13,9.90,,,,,,
8/1/2019,7.25,7.32,10.23,,,,,,
7/1/2019,7.5,7.58,10.30,,,,,,
6/1/2019,7.75,7.72,10.54,,,,,,
5/1/2019,7.75,7.75,10.56,,,,,,
4/1/2019,7.75,7.68,10.42,,,,,,
3/1/2019,7.75,7.59,10.16,,,,,,
2/1/2019,7.75,7.65,9.88,,,,,,
1/1/2019,7.75,7.49,9.66,,,,,,
12/1/2018,7.5,7.25,9.51,,,,,,
11/1/2018,7.5,7.27,9.41,,,,,,
10/1/2018,7.5,7.15,9.41,,,,,,
9/1/2018,7.25,7.03,9.42,,,,,,
8/1/2018,7.25,7.09,9.57,,,,,,
7/1/2018,7.25,7.02,9.49,,,,,,
6/1/2018,7.25,6.95,9.54,,,,,,
5/1/2018,7.25,7,9.6,,,,,,
4/1/2018,7.25,7.15,9.63,,,,,,
3/1/2018,7.5,7.15,9.75,,,,,,
2/1/2018,7.75,7.15,9.85,,,,,,
1/1/2018,7.75,7.09,9.79,,,,,,
12/1/2017,8.25,7.73,9.8,,,,,,
11/1/2017,8.25,8.01,9.95,,,,,,
10/1/2017,8.5,8.04,10.05,,,,,,
9/1/2017,9,8.37,10.58,,,,,,
8/1/2017,9,8.54,10.94,,,,,,
7/1/2017,9,8.95,11.1,,,,,,
6/1/2017,9.25,9.11,11.33,,,,,,
5/1/2017,9.25,9.13,11.44,,,,,,
4/1/2017,9.75,9.58,11.68,,,,,,
3/1/2017,10,9.90,11.94,,,,,,
2/1/2017,10,10.14,11.84,,,,,,
1/1/2017,10,10.11,11.54,,,,,,
12/1/2016,10,10.16,12.16,,,,,,
11/1/2016,10,10.02,12.41,,,,,,
10/1/2016,10,10.32,12.51,,,,,,
9/1/2016,10.5,10.24,12.66,,,,,,
8/1/2016,10.5,10.34,12.83,,,,,,
7/1/2016,10.5,10.38,12.93,,,,,,
6/1/2016,11,10.64,13.08,,,,,,
5/1/2016,11,11.06,12.92,,,,,,
4/1/2016,11,10.73,12.89,,,,,,
3/1/2016,11,10.94,12.11,,,,,,
2/1/2016,11,10.84,12.50,,,,,,
1/1/2016,11,11.02,13.35,,,,,,
12/1/2015,11,11.07,13.43,,,,,,
11/1/2015,11,11.43,13.58,,,,,,
10/1/2015,11,11.14,13.68,,,,,,
9/1/2015,11,11.15,13.78,,,,,,
8/1/2015,11.5,10.86,13.93,,,,,,
7/1/2015,11.5,11.52,14.04,,,,,,
6/1/2015,12.5,12.5,14.22,,,,,,
5/1/2015,14,12.83,14.4,,,,,,
4/1/2015,14,14.36,14.53,,,,,,
3/1/2015,15,14.9,14.45,,,,,,
2/1/2015,17,15.12,14.16,,,,,,
1/1/2015,17,16.96,12.45,,,,,,
12/1/2014,9.5,15.47,12.35,,,,,,
11/1/2014,8,10.21,12.32,,,,,,
10/1/2014,8,8.24,12.24,,,,,,
9/1/2014,8,7.95,12.22,,,,,,
8/1/2014,8,7.88,12.21,,,,,,
7/1/2014,7.5,8.17,12.2,,,,,,
6/1/2014,7.5,8.23,12.2,,,,,,
5/1/2014,7.5,8.21,12.2,,,,,,
4/1/2014,7,7.87,12.16,,,,,,
3/1/2014,5.5,7.85,12.29,,,,,,
2/1/2014,5.5,5.99,12.28,,,,,,
1/1/2014,5.5,6.06,12.44,,,,,,
